2025-07-12 10:28:33,255 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2025-07-12 10:28:36,114 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2025-07-12 10:28:49,231 [INFO] Phone migrated to 4
2025-07-12 10:28:49,414 [INFO] Reconnecting to new data center 4
2025-07-12 10:28:49,560 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-12 10:28:49,561 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-12 10:28:49,562 [INFO] Connecting to 149.154.167.91:443/TcpFull...
2025-07-12 10:28:51,255 [INFO] Connection to 149.154.167.91:443/TcpFull complete!
2025-07-12 10:29:07,392 [INFO] \U0001f501 Starting lobelia4cosmetics
2025-07-12 10:30:49,054 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:50,169 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:50,663 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:51,879 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:54,535 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:55,816 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:56,275 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:56,766 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:59,149 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:00,697 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:02,588 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:03,679 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:05,185 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:06,639 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:08,173 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:09,694 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:11,188 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:12,548 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:13,876 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:14,733 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:15,757 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:16,505 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:16,943 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:17,942 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:18,921 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:19,527 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:19,871 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:22,216 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:23,435 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:24,899 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:25,813 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:29,206 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:30,511 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:30,872 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:31,359 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:32,011 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:32,510 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:32,996 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:35,316 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:36,883 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:39,074 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:39,435 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:39,984 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:42,466 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:43,155 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:44,866 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:46,573 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:47,188 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:48,591 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:49,321 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:49,749 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:49,998 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:51,888 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:52,336 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:52,961 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:53,929 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:54,891 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:57,912 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:00,413 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:00,746 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:01,143 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:01,447 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:01,877 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:02,354 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:04,328 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:05,823 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:07,239 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:08,863 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:12,540 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:15,597 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:17,137 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:23,251 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:23,977 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:24,849 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:26,293 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:27,511 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:28,497 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:29,841 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:31,828 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:33,470 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:34,994 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:36,423 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:37,733 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:39,097 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:40,396 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:41,686 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:43,255 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:45,034 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:45,818 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:47,719 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:48,271 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:49,761 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:50,303 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:51,725 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:52,200 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:52,786 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:54,015 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:55,490 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:56,117 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:58,651 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:32:59,120 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:00,088 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:04,140 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:04,738 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:05,720 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:06,637 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:09,165 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:11,899 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:13,390 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:13,783 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:14,132 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:14,520 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:15,025 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:15,496 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:15,958 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:16,820 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:18,318 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:20,131 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:20,711 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:21,062 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:21,703 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:22,083 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:23,359 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:25,246 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:27,571 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:28,707 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:29,063 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:30,106 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:31,098 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:31,587 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:32,370 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:34,256 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:35,755 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:36,275 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:36,888 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:38,360 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:39,013 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:41,226 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:44,210 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:45,806 [ERROR] Failed scraping lobelia4cosmetics: Object of type datetime is not JSON serializable
2025-07-12 10:33:45,807 [INFO] \U0001f501 Starting tikvahpharma
2025-07-12 10:33:47,294 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:48,025 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:49,866 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:50,959 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:53,828 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:56,255 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:57,720 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:33:59,546 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:04,076 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:07,481 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:10,319 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:11,853 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:13,956 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:16,468 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:18,856 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:20,418 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:21,252 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:21,890 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:22,405 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:23,030 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:25,630 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:28,423 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:31,330 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:33,051 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:35,546 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:39,839 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:42,589 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:43,189 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:46,642 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:48,304 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:51,355 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:54,733 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:55,459 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:56,445 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:34:59,987 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:03,061 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:08,645 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:12,356 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:13,920 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:16,600 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:17,899 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
